gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
BHLHE41	8.94024	11.0301	10.5687	7.76387	10.6846	9.96043	9.36521	7.41397	10.0441	9.78476	9.94803	8.53798	9.84649	10.2292	9.86734	8.88378	9.41524	9.6134	10.1125
BHMT2	5.52146	3.33438	2.63113	3.67451	2.19032	3.07338	1.56366	6.05912	3.62121	0.51074	3.17478	4.19397	6.94794	2.31254	3.72525	2.86719	6.85961	4.9258	3.69507
BHMT	1.694	1.54066	0.979513	2.07582	0.182407	1.62754	0	4.80964	1.95735	1.93004	0	0.774102	3.06975	1.2243	1.36096	0.918621	5.2832	0	0.766029
BICC1	3.97716	1.03733	5.57595	5.90808	3.03011	2.20575	4.27724	5.78074	3.23517	5.21494	3.67646	5.1985	6.64509	5.94542	6.49828	5.66988	4.60911	1.1966	5.90536
BICD1	7.66996	8.61577	7.97488	8.59434	8.50916	7.44483	7.89952	7.26403	8.38343	7.1507	7.37212	7.2385	7.9036	6.82002	6.21461	8.21582	7.77065	5.99645	7.14362
BICD2	8.09682	8.03657	6.97541	8.21986	7.41698	8.4362	7.38399	7.58731	7.37275	8.12859	7.58172	8.01202	7.92949	8.01235	8.18674	7.49832	7.61234	7.44425	8.12593
BID	7.71295	7.13096	7.1232	7.66896	8.32784	7.72912	8.74895	7.50797	7.25377	8.52904	7.70295	7.51415	8.16396	7.23748	9.56373	7.04053	7.29815	8.52515	8.1931
BIK	6.39859	4.81049	6.00881	5.96871	6.1717	6.82871	5.77765	6.23245	6.23832	7.63434	6.23637	6.71901	5.39816	5.94542	6.18826	7.1301	5.77144	6.18415	6.61607
BIN1	8.68169	8.58747	7.97728	7.81883	6.50429	7.89245	7.99261	8.24774	7.81803	9.09583	7.01571	7.97625	8.36077	8.591	9.43628	6.82546	8.30548	8.1041	7.67415
BIN2	5.12396	4.04957	6.09131	6.63595	5.63835	5.84644	6.28227	3.8151	6.44095	6.46614	6.19644	5.8944	6.51915	5.05625	6.05444	6.61204	5.42935	5.33272	6.17587
